business_name,industry,phone,complaint_count,top_keyword,yelp_url,sample_complaint
Daspit Law Firm,Lawyers,(281) 972-6900,7,hung up,https://www.yelp.com/biz/daspit-law-firm-houston-2,"Severe lack of communication and updating client on status of case.  They changed my atty assigned to the case several times and zero notice!  Plus, e"
Arnold & Itkin,Lawyers,(888) 687-1904,7,won't return,https://www.yelp.com/biz/arnold-and-itkin-houston-3,Lack of communication. Nothing they advertise or the fake reviews are really what they do. They bait and switch attorneys on you. We worked with one a
Kubosh Paul,Lawyers,(713) 222-0880,7,hung up,https://www.yelp.com/biz/kubosh-paul-houston,A friend uses Kubosh Law offices for traffic tickets and is very happy.  I called them and hired them to represent me.  The court date was changed to 
ASAP Locksmith,Locksmith,(832) 404-0102,7,hung up,https://www.yelp.com/biz/asap-locksmith-houston-7,I used this company because of their high rating. I locked myself out of my truck. What i got out of calling this company was a broken steering column
Ramji Law Group,Lawyers,(713) 888-8888,6,lack of communication,https://www.yelp.com/biz/ramji-law-group-houston-3,"Disappointed with Lack of Communication & DelaysI was in a car accident in March 2024 and hired Adam Ramji's firm to handle my case. Unfortunately, th"
Pop-A-Lock of Houston - Locksmith,Locksmith,(713) 722-0060,6,hung up,https://www.yelp.com/biz/pop-a-lock-houston-9,"Liars, unprofessional, and unethical!!!!!  Would give them no stars if possible.  My insurance contacted them at 6:20pm with a 1 hour response time. A"
Edward Law Group,Lawyers,(281) 900-7226,5,hung up,https://www.yelp.com/biz/edward-law-group-houston-2,This place is definitely a scam. I retained them to assist my brother in seeing his son the Attorney is now nonexistent and the legal assistance recei
Citizen Law Firm,Lawyers,(713) 665-4977,5,unresponsive,https://www.yelp.com/biz/citizen-law-firm-houston-2,Totally unresponsive and not client-oriented.  Would never recommend doing business with them.
Davis Law Firm,Lawyers,(210) 444-4444,5,voicemail,https://www.yelp.com/biz/davis-law-firm-san-antonio-3,"Ed Brown is a joke of an attorney. The only time he contacted me is when I decided to cease my ""medical treatment"" that they required I receive. I hav"
Thomas J. Henry Law,Lawyers,(512) 520-0221,4,no communication,https://www.yelp.com/biz/thomas-j-henry-law-austin-2,This is the worse law firm that I ever dealt with. My accident claim has been switched to so many attornies that I lost count and it's taking them for
Cothron's Safe and Lock,Locksmith,(512) 246-3979,4,never returned,https://www.yelp.com/biz/cothrons-safe-and-lock-round-rock-7,I recently went to Cothron's to have 2 door locks for my Ford F-150 re-tumbled to match my ignition key. They did not have to remove them from the doo
Universal Auto Center,Auto Repair,(713) 783-8100,4,ghost,https://www.yelp.com/biz/universal-auto-center-houston-5,My husband took his vehicle to this shop.  They did not fix it.  Jason was the one helping me.  Don't go here.  They just took our money and still hav
ASAP Mobile Auto Repair,Auto Repair,(682) 320-5469,4,"no response, never heard back",https://www.yelp.com/biz/asap-mobile-auto-repair-fort-worth-4,Chris day ripped me off.. paid 400$ to fix a problem and he broke something else. Told me 450$ for a rack opinion part. Paid him 450$. Never heard bac
Attorney Brian White Personal Injury Lawyer,Lawyers,(346) 651-3939,3,no response,https://www.yelp.com/biz/attorney-brian-white-personal-injury-lawyer-houston,Worst law firm I've dealt with in regards to personal injury. I reached out to this firm. I brought my case to this firm in 2021. Me and my significan
Pusch & Nguyen Accident Injury Lawyers,Lawyers,(713) 524-8139,3,poor communication,https://www.yelp.com/biz/pusch-and-nguyen-law-firm-houston,"Things started off promising but have since gone downhill. I signed my settlement release on July 16th, 2024 and was informed it would take 60-90 days"
"Tom Thomas Legal, P.C. - a Texas Debt Defense Law Firm",Lawyers,(214) 691-6200,3,lack of communication,https://www.yelp.com/biz/tom-thomas-legal-dallas,I posted a lengthy review earlier this year regarding the lack of communication and all around help I received from this law office. I was promptly ca
Witherite Law Group,Lawyers,(214) 378-6665,3,never answer,https://www.yelp.com/biz/witherite-law-group-dallas,Caution. Do not count on them to make anything easier for you!! Completely disappointed. Took my case. Messed me and the case up and then withdrew....
Angel Reyes & Associates,Lawyers,(877) 768-0071,3,doesn't answer,https://www.yelp.com/biz/angel-reyes-and-associates-dallas-3,Worst  law firm in the country(is a fact since my mom works with lawfirms across the country ) the high reviews you see are most likely within the fir
